plot,block,treatment,year,quadrat,dateII,date,dist,waterhemp.den,flowering,flowering.data,germination,avg
101,1,alfalfa/orchardgrass,2022,1M,15-May,5/15,winter ann forage,15,2,yes,10,14
102,1,ryelage-sorghum sudangrass,2022,1M,15-May,5/15,winter ann forage,0,0,yes,3,14
103,1,wheat/clover,2022,1M,15-May,5/15,winter ann forage,6,0,yes,21,14
104,1,wheat-cc mix,2022,1M,15-May,5/15,winter ann forage,155.5,0,yes,22,14
105,1,alfalfa/oats,2022,1M,15-May,5/15,winter ann forage,18,2,yes,11,7.5
106,1,oats-cc mix,2022,1M,15-May,5/15,winter ann forage,1,0,yes,6,7.5
201,1,wheat-cc mix,2022,1M,15-May,5/15,winter ann forage,1,0,yes,8,7.5
202,2,alfalfa/oats,2022,1M,15-May,5/15,winter ann forage,5.5,0,yes,5,7.5
203,2,wheat/clover,2022,1M,15-May,5/15,winter ann forage,3.5,0,yes,9,26.75
204,2,alfalfa/orchardgrass,2022,1M,15-May,5/15,winter ann forage,5.5,1,yes,32,26.75
205,2,oats-cc mix,2022,1M,15-May,5/15,winter ann forage,4,0,yes,27,26.75
206,2,ryelage-sorghum sudangrass,2022,1M,15-May,5/15,winter ann forage,1,0,yes,39,26.75
301,3,ryelage-sorghum sudangrass,2022,1M,15-May,5/15,winter ann forage,1,4,yes,5,9.5
302,3,oats-cc mix,2022,1M,15-May,5/15,winter ann forage,15.5,0,yes,3,9.5
303,3,wheat-cc mix,2022,1M,15-May,5/15,winter ann forage,18.5,0,yes,12,9.5
304,3,alfalfa/oats,2022,1M,15-May,5/15,winter ann forage,10.5,0,yes,18,9.5
305,3,wheat/clover,2022,1M,15-May,5/15,winter ann forage,4.5,0,yes,9,15.5
306,3,alfalfa/orchardgrass,2022,1M,15-May,5/15,winter ann forage,8.5,0,yes,6,15.5
401,4,wheat/clover,2022,1M,15-May,5/15,winter ann forage,4.5,0,yes,27,15.5
402,4,alfalfa/orchardgrass,2022,1M,15-May,5/15,winter ann forage,7.5,1,yes,20,15.5
403,4,ryelage-sorghum sudangrass,2022,1M,15-May,5/15,winter ann forage,1.5,2,yes,3,24.5
404,4,oats-cc mix,2022,1M,15-May,5/15,winter ann forage,12.5,0,yes,53,24.5
405,4,alfalfa/oats,2022,1M,15-May,5/15,winter ann forage,4.45,4,yes,34,24.5
406,4,wheat-cc mix,2022,1M,15-May,5/15,winter ann forage,1,0,yes,8,24.5
101,1,alfalfa/orchardgrass,2023,1M,15-May,5/15,winter ann forage,18,6,yes,,
102,1,ryelage-sorghum sudangrass,2023,1M,15-May,5/15,winter ann forage,15,9,yes,,
103,1,wheat/clover,2023,1M,15-May,5/15,winter ann forage,6,0,yes,,
104,1,wheat-cc mix,2023,1M,15-May,5/15,winter ann forage,5,1,yes,,
105,1,alfalfa/oats,2023,1M,15-May,5/15,winter ann forage,5,5,yes,,
106,1,oats-cc mix,2023,1M,15-May,5/15,winter ann forage,0,13,yes,,
201,2,wheat-cc mix,2023,1M,15-May,5/15,winter ann forage,0,2,yes,,
202,2,oats-cc mix,2023,1M,15-May,5/15,winter ann forage,2,1,yes,,
203,2,wheat/clover,2023,1M,15-May,5/15,winter ann forage,0,1,yes,,
204,2,alfalfa/oats,2023,1M,15-May,5/15,winter ann forage,8,1,yes,,
205,2,alfalfa/orchardgrass,2023,1M,15-May,5/15,winter ann forage,7,5,yes,,
206,2,ryelage-sorghum sudangrass,2023,1M,15-May,5/15,winter ann forage,1,9,yes,,
301,3,alfalfa/oats,2023,1M,15-May,5/15,winter ann forage,0,4,yes,,
302,3,wheat-cc mix,2023,1M,15-May,5/15,winter ann forage,8,5,yes,,
303,3,alfalfa/orchardgrass,2023,1M,15-May,5/15,winter ann forage,5,4,yes,,
304,3,ryelage-sorghum sudangrass,2023,1M,15-May,5/15,winter ann forage,3,9,yes,,
305,3,oats-cc mix,2023,1M,15-May,5/15,winter ann forage,8,3,yes,,
306,3,wheat/clover,2023,1M,15-May,5/15,winter ann forage,0,0,yes,,
401,4,ryelage-sorghum sudangrass,2023,1M,15-May,5/15,winter ann forage,0,3,yes,,
402,4,wheat/clover,2023,1M,15-May,5/15,winter ann forage,2,0,yes,,
403,4,oats-cc mix,2023,1M,15-May,5/15,winter ann forage,0,1,yes,,
404,4,alfalfa/orchardgrass,2023,1M,15-May,5/15,winter ann forage,5,3,yes,,
405,4,wheat-cc mix,2023,1M,15-May,5/15,winter ann forage,0,7,yes,,
