plot,block,treatment,harvest.date1,harvest.data1,harvest.1,harvest.date2,harvest.data2,harvest.2,harvest.date3,harvest.data3,harvest.3,count.dates,quadrat,wh.coty,wh.0.2,wh.2.4,wh.4.12,wh.12,total,l4.no,g4.no,recruit.no,total.recruit,total.recruit.data,total.no.repro,total.flower.data,survival.proportions,survival.data,germ.seeds,germ.data
104,b1,fall wheat cc mix,8/2/22,yes,13.6,na,no,na,na,no,na,6/1/22,1M,80,44,0,0,0,124,124,0,124,,no,,no,,no,14,yes
104,b1,fall wheat cc mix,8/2/22,yes,13.6,na,no,na,na,no,na,6/9/22,1M,136,16,0,0,0,152,152,0,28,,no,,no,,no,14,yes
104,b1,fall wheat cc mix,8/2/22,yes,13.6,na,no,na,na,no,na,6/17/22,1M,4,8,0,0,0,12,12,0,0,,no,,no,,no,14,yes
104,b1,fall wheat cc mix,8/2/22,yes,13.6,na,no,na,na,no,na,6/23/22,1M,8,0,0,0,0,8,8,0,0,,no,,no,,no,14,yes
104,b1,fall wheat cc mix,8/2/22,yes,13.6,na,no,na,na,no,na,6/30/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
104,b1,fall wheat cc mix,8/2/22,yes,13.6,na,no,na,na,no,na,7/8/22,1M,0,8,4,0,0,12,12,0,12,,no,,no,,no,,
104,b1,fall wheat cc mix,8/2/22,yes,13.6,na,no,na,na,no,na,7/11/22,1M,4,12,0,0,0,16,16,0,4,,no,,no,,no,,
104,b1,fall wheat cc mix,8/2/22,yes,13.6,na,no,na,na,no,na,8/9/22,1M,0,0,8,8,0,16,8,8,0,,no,,no,,no,,
104,b1,fall wheat cc mix,8/2/22,yes,13.6,na,no,na,na,no,na,9/8/22,1M,20,0,0,0,0,20,20,0,12,,no,,no,,no,,
104,b1,fall wheat cc mix,8/2/22,yes,13.6,na,no,na,na,no,na,10/12/22,1M,0,0,0,0,0,0,0,0,0,180,yes,0,yes,0,yes,,
201,b2,fall wheat cc mix,8/2/22,yes,1.6,na,no,na,na,no,na,6/1/22,1M,0,12,0,0,0,12,12,0,12,,no,,no,,no,,
201,b2,fall wheat cc mix,8/2/22,yes,1.6,na,no,na,na,no,na,6/9/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
201,b2,fall wheat cc mix,8/2/22,yes,1.6,na,no,na,na,no,na,6/17/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
201,b2,fall wheat cc mix,8/2/22,yes,1.6,na,no,na,na,no,na,6/23/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
201,b2,fall wheat cc mix,8/2/22,yes,1.6,na,no,na,na,no,na,6/30/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
201,b2,fall wheat cc mix,8/2/22,yes,1.6,na,no,na,na,no,na,7/8/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
201,b2,fall wheat cc mix,8/2/22,yes,1.6,na,no,na,na,no,na,7/11/22,1M,0,0,0,4,0,4,0,4,0,,no,,no,,no,,
201,b2,fall wheat cc mix,8/2/22,yes,1.6,na,no,na,na,no,na,8/9/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
201,b2,fall wheat cc mix,8/2/22,yes,1.6,na,no,na,na,no,na,9/8/22,1M,0,0,0,12,0,12,0,12,0,,no,,no,,no,,
201,b2,fall wheat cc mix,8/2/22,yes,1.6,na,no,na,na,no,na,10/12/22,1M,0,0,0,0,0,0,0,0,0,12,yes,0,yes,0,yes,,
303,b3,fall wheat cc mix,8/2/22,yes,30,na,no,na,na,no,na,6/1/22,1M,4,8,0,0,0,12,12,0,12,,no,,no,,no,,
303,b3,fall wheat cc mix,8/2/22,yes,30,na,no,na,na,no,na,6/9/22,1M,8,0,0,0,0,8,8,0,0,,no,,no,,no,,
303,b3,fall wheat cc mix,8/2/22,yes,30,na,no,na,na,no,na,6/17/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
303,b3,fall wheat cc mix,8/2/22,yes,30,na,no,na,na,no,na,6/23/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
303,b3,fall wheat cc mix,8/2/22,yes,30,na,no,na,na,no,na,6/30/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
303,b3,fall wheat cc mix,8/2/22,yes,30,na,no,na,na,no,na,7/8/22,1M,4,4,0,0,0,8,8,0,8,,no,,no,,no,,
303,b3,fall wheat cc mix,8/2/22,yes,30,na,no,na,na,no,na,7/11/22,1M,0,12,0,0,0,12,12,0,4,,no,,no,,no,,
303,b3,fall wheat cc mix,8/2/22,yes,30,na,no,na,na,no,na,8/9/22,1M,0,4,4,0,0,8,8,0,0,,no,,no,,no,,
303,b3,fall wheat cc mix,8/2/22,yes,30,na,no,na,na,no,na,9/8/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
303,b3,fall wheat cc mix,8/2/22,yes,30,na,no,na,na,no,na,10/12/22,1M,0,0,0,0,0,0,0,0,0,24,yes,0,yes,0,yes,,
406,b4,fall wheat cc mix,8/2/22,yes,43.8,na,no,na,na,no,na,6/1/22,1M,8,0,0,0,0,8,8,0,8,,no,,no,,no,,
406,b4,fall wheat cc mix,8/2/22,yes,43.8,na,no,na,na,no,na,6/9/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
406,b4,fall wheat cc mix,8/2/22,yes,43.8,na,no,na,na,no,na,6/17/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
406,b4,fall wheat cc mix,8/2/22,yes,43.8,na,no,na,na,no,na,6/23/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
406,b4,fall wheat cc mix,8/2/22,yes,43.8,na,no,na,na,no,na,6/30/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
406,b4,fall wheat cc mix,8/2/22,yes,43.8,na,no,na,na,no,na,7/8/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
406,b4,fall wheat cc mix,8/2/22,yes,43.8,na,no,na,na,no,na,7/11/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
406,b4,fall wheat cc mix,8/2/22,yes,43.8,na,no,na,na,no,na,8/9/22,1M,0,4,0,0,0,4,4,0,4,,no,,no,,no,,
406,b4,fall wheat cc mix,8/2/22,yes,43.8,na,no,na,na,no,na,9/8/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
406,b4,fall wheat cc mix,8/2/22,yes,43.8,na,no,na,na,no,na,10/12/22,1M,0,0,0,0,0,0,0,0,0,12,yes,0,yes,0,yes,,
103,b1,fall wheat clover,8/2/22,yes,7.6,9/14/22,yes,2.29,na,no,na,6/1/22,1M,12,0,0,0,0,12,12,0,12,,no,,no,,no,7.5,yes
103,b1,fall wheat clover,8/2/22,yes,7.6,9/14/22,yes,2.29,na,no,na,6/9/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,7.5,yes
103,b1,fall wheat clover,8/2/22,yes,7.6,9/14/22,yes,2.29,na,no,na,6/17/22,1M,4,0,0,0,0,4,4,0,4,,no,,no,,no,7.5,yes
103,b1,fall wheat clover,8/2/22,yes,7.6,9/14/22,yes,2.29,na,no,na,6/23/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,7.5,yes
103,b1,fall wheat clover,8/2/22,yes,7.6,9/14/22,yes,2.29,na,no,na,6/30/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
103,b1,fall wheat clover,8/2/22,yes,7.6,9/14/22,yes,2.29,na,no,na,7/8/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
103,b1,fall wheat clover,8/2/22,yes,7.6,9/14/22,yes,2.29,na,no,na,7/11/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
103,b1,fall wheat clover,8/2/22,yes,7.6,9/14/22,yes,2.29,na,no,na,8/9/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
103,b1,fall wheat clover,8/2/22,yes,7.6,9/14/22,yes,2.29,na,no,na,9/8/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
103,b1,fall wheat clover,8/2/22,yes,7.6,9/14/22,yes,2.29,na,no,na,10/12/22,1M,0,0,0,0,0,0,0,0,0,16,yes,0,yes,0,yes,,
203,b2,fall wheat clover,8/2/22,yes,3.8,9/14/22,yes,1.96,na,no,na,6/1/22,1M,0,24,8,16,0,48,32,16,48,,no,,no,,no,,
203,b2,fall wheat clover,8/2/22,yes,3.8,9/14/22,yes,1.96,na,no,na,6/9/22,1M,4,48,0,0,0,52,52,0,20,,no,,no,,no,,
203,b2,fall wheat clover,8/2/22,yes,3.8,9/14/22,yes,1.96,na,no,na,6/17/22,1M,0,12,0,4,0,16,12,4,0,,no,,no,,no,,
203,b2,fall wheat clover,8/2/22,yes,3.8,9/14/22,yes,1.96,na,no,na,6/23/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
203,b2,fall wheat clover,8/2/22,yes,3.8,9/14/22,yes,1.96,na,no,na,6/30/22,1M,0,0,0,4,0,4,0,4,0,,no,,no,,no,,
203,b2,fall wheat clover,8/2/22,yes,3.8,9/14/22,yes,1.96,na,no,na,7/8/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
203,b2,fall wheat clover,8/2/22,yes,3.8,9/14/22,yes,1.96,na,no,na,7/11/22,1M,0,0,16,0,0,16,16,0,16,,no,,no,,no,,
203,b2,fall wheat clover,8/2/22,yes,3.8,9/14/22,yes,1.96,na,no,na,8/9/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
203,b2,fall wheat clover,8/2/22,yes,3.8,9/14/22,yes,1.96,na,no,na,9/8/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
203,b2,fall wheat clover,8/2/22,yes,3.8,9/14/22,yes,1.96,na,no,na,10/12/22,1M,0,8,0,0,0,8,8,0,8,92,yes,0,yes,0,yes,,
305,b3,fall wheat clover,8/2/22,yes,25.4,9/14/22,yes,1.56,na,no,na,6/1/22,1M,4,24,12,0,0,40,40,0,40,,no,,no,,no,,
305,b3,fall wheat clover,8/2/22,yes,25.4,9/14/22,yes,1.56,na,no,na,6/9/22,1M,0,20,8,8,0,36,28,8,0,,no,,no,,no,,
305,b3,fall wheat clover,8/2/22,yes,25.4,9/14/22,yes,1.56,na,no,na,6/17/22,1M,0,12,0,16,0,28,12,16,0,,no,,no,,no,,
305,b3,fall wheat clover,8/2/22,yes,25.4,9/14/22,yes,1.56,na,no,na,6/23/22,1M,0,12,0,12,4,28,12,16,0,,no,,no,,no,,
305,b3,fall wheat clover,8/2/22,yes,25.4,9/14/22,yes,1.56,na,no,na,6/30/22,1M,0,0,4,8,8,20,4,16,0,,no,,no,,no,,
305,b3,fall wheat clover,8/2/22,yes,25.4,9/14/22,yes,1.56,na,no,na,7/8/22,1M,0,0,0,16,4,20,0,20,0,,no,,no,,no,,
305,b3,fall wheat clover,8/2/22,yes,25.4,9/14/22,yes,1.56,na,no,na,7/11/22,1M,0,0,8,12,8,28,8,20,8,,no,,no,,no,,
305,b3,fall wheat clover,8/2/22,yes,25.4,9/14/22,yes,1.56,na,no,na,8/9/22,1M,0,0,16,4,20,40,16,24,4,,no,,no,,no,,
305,b3,fall wheat clover,8/2/22,yes,25.4,9/14/22,yes,1.56,na,no,na,9/8/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
305,b3,fall wheat clover,8/2/22,yes,25.4,9/14/22,yes,1.56,na,no,na,10/12/22,1M,0,0,0,0,0,0,0,0,0,52,yes,0,yes,0,yes,,
401,b4,fall wheat clover,8/2/22,yes,4.3,9/14/22,yes,1.42,na,no,na,6/1/22,1M,4,8,0,0,0,12,12,0,12,,no,,no,,no,,
401,b4,fall wheat clover,8/2/22,yes,4.3,9/14/22,yes,1.42,na,no,na,6/9/22,1M,0,24,0,0,0,24,24,0,12,,no,,no,,no,,
401,b4,fall wheat clover,8/2/22,yes,4.3,9/14/22,yes,1.42,na,no,na,6/17/22,1M,0,48,0,0,0,48,48,0,24,,no,,no,,no,,
401,b4,fall wheat clover,8/2/22,yes,4.3,9/14/22,yes,1.42,na,no,na,6/23/22,1M,0,32,8,0,0,40,40,0,0,,no,,no,,no,,
401,b4,fall wheat clover,8/2/22,yes,4.3,9/14/22,yes,1.42,na,no,na,6/30/22,1M,0,24,12,0,0,36,36,0,0,,no,,no,,no,,
401,b4,fall wheat clover,8/2/22,yes,4.3,9/14/22,yes,1.42,na,no,na,7/8/22,1M,0,24,12,0,0,36,36,0,0,,no,,no,,no,,
401,b4,fall wheat clover,8/2/22,yes,4.3,9/14/22,yes,1.42,na,no,na,7/11/22,1M,0,24,8,4,0,36,32,4,0,,no,,no,,no,,
401,b4,fall wheat clover,8/2/22,yes,4.3,9/14/22,yes,1.42,na,no,na,8/9/22,1M,0,0,0,0,0,0,0,0,0,,no,,no,,no,,
