plot,block,treatment,harvest.date1,harvest.data1,harvest.1,harvest.date2,harvest.data2,harvest.2,harvest.date3,harvest.data3,harvest.3,count.dates,quadrat,wh.coty,wh.0.2,wh.2.4,wh.4.12,wh.12,weekly.total,cumulative ,x,week.data,proportion,repo.data,reproductive,dates,germination
104,b1,wheat-cc mix,8/2/22,yes,914.6,na,no,na,na,no,na,6/1/22,0.25^2,20,11,0,0,0,31,31,74,no,41.89189189,no,na,no,10
201,b2,wheat-cc mix,8/2/22,yes,107.6,na,no,na,na,no,na,6/1/22,0.25^2,0,3,0,0,0,3,3,3,no,100,no,na,no,3
303,b3,wheat-cc mix,8/2/22,yes,2017.5,na,no,na,na,no,na,6/1/22,0.25^2,1,2,0,0,0,3,3,6,no,50,no,na,no,21
406,b4,wheat-cc mix,8/2/22,yes,2945.55,na,no,na,na,no,na,6/1/22,0.25^2,2,0,0,0,0,2,2,2,no,100,no,na,no,22
103,b1,wheat/clover,8/2/22,yes,511.1,9/14/22,yes,5131.25,na,no,na,6/1/22,0.25^2,3,0,0,0,0,3,3,4,no,75,no,na,no,11
203,b2,wheat/clover,8/2/22,yes,255.55,9/14/22,yes,4392.61,na,no,na,6/1/22,0.25^2,0,6,2,4,0,12,12,13,no,92.30769231,no,na,no,6
305,b3,wheat/clover,8/2/22,yes,1708.15,9/14/22,yes,3491.45,na,no,na,6/1/22,0.25^2,1,6,3,0,0,10,10,10,no,100,no,na,no,8
401,b4,wheat/clover,8/2/22,yes,289.18,9/14/22,yes,3177.61,na,no,na,6/1/22,0.25^2,1,2,0,0,0,3,3,3,no,100,no,na,no,5
106,b1,oats-cc mix,8/2/22,yes,2468.08,na,no,na,na,no,na,6/1/22,0.25^2,0,1,1,0,0,2,2,10,no,20,no,na,no,9
205,b2,oats-cc mix,8/2/22,yes,2400.83,na,no,na,na,no,na,6/1/22,0.25^2,0,2,0,0,0,2,2,2,no,100,no,na,no,32
302,b3,oats-cc mix,8/2/22,yes,2864.85,na,no,na,na,no,na,6/1/22,0.25^2,0,9,0,0,0,9,9,10,no,90,no,na,no,27
404,b4,oats-cc mix,8/2/22,yes,2938.83,na,no,na,na,no,na,6/1/22,0.25^2,0,18,2,0,0,20,20,27,no,74.07407407,no,na,no,39
102,b1,ryelage-sorghum sudangrass ,5/13/22,yes,4970.97,7/13/22,yes,6599.57,9/14/22,yes,5387.93,6/1/22,0.25^2,5,5,0,0,0,10,10,11,no,90.90909091,no,na,no,5
206,b2,ryelage-sorghum sudangrass ,5/13/22,yes,3883.74,7/13/22,yes,6021.21,9/14/22,yes,3712.26,6/1/22,0.25^2,27,32,0,0,0,59,59,64,no,92.1875,no,na,no,3
301,b3,ryelage-sorghum sudangrass ,5/13/22,yes,3345.74,7/13/22,yes,4605.57,9/14/22,yes,3198.91,6/1/22,0.25^2,13,14,0,0,0,27,27,43,no,62.79069767,no,na,no,12
403,b4,ryelage-sorghum sudangrass ,5/13/22,yes,3120.45,7/13/22,yes,6360.83,9/14/22,yes,5133.49,6/1/22,0.25^2,5,11,0,0,0,16,16,19,no,84.21052632,no,na,no,18
105,b1,alfalfa/oats ,8/2/22,yes,1432.43,9/14/22,yes,3701.05,na,no,na,6/1/22,0.25^2,0,9,4,1,0,14,14,15,no,93.33333333,no,na,no,9
202,b2,alfalfa/oats ,8/2/22,yes,1883,9/14/22,yes,1587.12,na,no,na,6/1/22,0.25^2,2,6,5,0,0,13,13,15,no,86.66666667,no,na,no,6
304,b3,alfalfa/oats ,8/2/22,yes,1943.53,9/14/22,yes,2662.02,na,no,na,6/1/22,0.25^2,0,6,0,0,0,6,6,9,no,66.66666667,no,na,no,27
405,b4,alfalfa/oats ,8/2/22,yes,2138.55,9/14/22,yes,1348.38,na,no,na,6/1/22,0.25^2,3,11,0,0,0,14,14,29,no,48.27586207,no,na,no,20
101,b1,alfalfa/orchardgrass,7/13/22,yes,2062.36,9/14/22,yes,3030.78,na,no,na,6/1/22,0.25^2,4,27,5,0,0,36,36,36,no,100,no,na,no,3
204,b2,alfalfa/orchardgrass,7/13/22,yes,1950.28,9/14/22,yes,3063.28,na,no,na,6/1/22,0.25^2,0,18,3,1,0,22,22,27,no,81.48148148,no,na,no,53
306,b3,alfalfa/orchardgrass,7/13/22,yes,3164.16,9/14/22,yes,2299.98,na,no,na,6/1/22,0.25^2,0,2,3,1,0,6,6,6,no,100,no,na,no,34
402,b4,alfalfa/orchardgrass,7/13/22,yes,2330.25,9/14/22,yes,2249.55,na,no,na,6/1/22,0.25^2,0,13,0,0,0,13,13,15,no,86.66666667,no,na,no,8
104,b1,wheat-cc mix,8/2/22,yes,914.6,na,no,na,na,no,na,6/9/22,0.25^2,34,4,0,0,0,38,65,,yes,87.83783784,no,na,count.1,
201,b2,wheat-cc mix,8/2/22,yes,107.6,na,no,na,na,no,na,6/9/22,0.25^2,0,0,0,0,0,0,3,,yes,100,no,na,count.1,
303,b3,wheat-cc mix,8/2/22,yes,2017.5,na,no,na,na,no,na,6/9/22,0.25^2,2,0,0,0,0,2,5,,yes,83.33333333,no,na,count.1,
