plot,block,treatment,count.dates,year,quadrat,wh.coty,wh.0.2,wh.2.4,wh.4.12,wh.12,weekly.total,c.2,2.12,recruitment,Spring.Ryelage,Mid-June,Alfalfa.1,Small.Grains,Forage.2
101,1,alfalfa/orchardgrass,5/23/22,2022,1M,,,,,,15,,,15,15,40,28,28,16
101,1,alfalfa/orchardgrass,6/1/22,2022,1M,16,108,20,0,0,144,124,20,129,,,,,
101,1,alfalfa/orchardgrass,6/9/22,2022,1M,0,112,32,0,0,144,112,32,0,,,,,
101,1,alfalfa/orchardgrass,6/17/22,2022,1M,0,32,4,4,0,40,32,8,-104,,,,,
101,1,alfalfa/orchardgrass,6/23/22,2022,1M,0,20,0,4,0,24,20,4,24,,,,,
101,1,alfalfa/orchardgrass,6/30/22,2022,1M,0,16,0,8,0,24,16,8,0,,,,,
101,1,alfalfa/orchardgrass,7/8/22,2022,1M,0,4,16,0,4,24,4,20,0,,,,,
101,1,alfalfa/orchardgrass,7/11/22,2022,1M,0,0,24,4,0,28,0,28,28,,,,,
101,1,alfalfa/orchardgrass,8/9/22,2022,1M,0,56,60,0,0,116,56,60,88,,,,,
101,1,alfalfa/orchardgrass,9/8/22,2022,1M,0,0,4,0,12,16,0,16,-100,,,,,
101,1,alfalfa/orchardgrass,10/12/22,2022,1M,0,0,8,0,0,8,0,8,-8,,,,,
102,1,ryelage-sorghum sudangrass ,5/23/22,2022,1M,,,,,,0,,,0,0,60,16,16,32
102,1,ryelage-sorghum sudangrass ,6/1/22,2022,1M,20,20,0,0,0,40,40,0,40,,,,,
102,1,ryelage-sorghum sudangrass ,6/9/22,2022,1M,0,68,0,0,0,68,68,0,28,,,,,
102,1,ryelage-sorghum sudangrass ,6/17/22,2022,1M,4,24,32,0,0,60,28,32,-8,,,,,
102,1,ryelage-sorghum sudangrass ,6/23/22,2022,1M,0,24,64,8,0,96,24,72,96,,,,,
102,1,ryelage-sorghum sudangrass ,6/30/22,2022,1M,0,40,4,0,0,44,40,4,-52,,,,,
102,1,ryelage-sorghum sudangrass ,7/8/22,2022,1M,0,8,24,0,0,32,8,24,-12,,,,,
102,1,ryelage-sorghum sudangrass ,7/11/22,2022,1M,0,16,0,0,0,16,16,0,16,,,,,
102,1,ryelage-sorghum sudangrass ,8/9/22,2022,1M,0,8,40,8,0,56,8,48,40,,,,,
102,1,ryelage-sorghum sudangrass ,9/8/22,2022,1M,0,0,16,16,0,32,0,32,-24,,,,,
102,1,ryelage-sorghum sudangrass ,10/12/22,2022,1M,0,0,0,0,0,0,0,0,-32,,,,,
103,1,wheat/clover,5/23/22,2022,1M,,,,,,6,,,6,6,4,0,0,0
103,1,wheat/clover,6/1/22,2022,1M,12,0,0,0,0,12,12,0,6,,,,,
103,1,wheat/clover,6/9/22,2022,1M,0,0,0,0,0,0,0,0,-12,,,,,
103,1,wheat/clover,6/17/22,2022,1M,4,0,0,0,0,4,4,0,4,,,,,
103,1,wheat/clover,6/23/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
103,1,wheat/clover,6/30/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
103,1,wheat/clover,7/8/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
103,1,wheat/clover,7/11/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
103,1,wheat/clover,8/9/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
103,1,wheat/clover,9/8/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
103,1,wheat/clover,10/12/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
104,1,wheat-cc mix,5/23/22,2022,1M,,,,,,155.5,,,155.5,155.5,12,16,16,20
104,1,wheat-cc mix,6/1/22,2022,1M,80,44,0,0,0,124,124,0,-31.5,,,,,
104,1,wheat-cc mix,6/9/22,2022,1M,136,16,0,0,0,152,152,0,28,,,,,
104,1,wheat-cc mix,6/17/22,2022,1M,4,8,0,0,0,12,12,0,-140,,,,,
104,1,wheat-cc mix,6/23/22,2022,1M,8,0,0,0,0,8,8,0,8,,,,,
104,1,wheat-cc mix,6/30/22,2022,1M,0,0,0,0,0,0,0,0,-8,,,,,
104,1,wheat-cc mix,7/8/22,2022,1M,0,8,4,0,0,12,8,4,12,,,,,
104,1,wheat-cc mix,7/11/22,2022,1M,4,12,0,0,0,16,16,0,16,,,,,
104,1,wheat-cc mix,8/9/22,2022,1M,0,0,8,8,0,16,0,16,0,,,,,
