plot,block,treatment,year,quadrat,date,recruit.no
104,b1,fall wheat cc mix,2022,1M,1-Jun,124
104,b1,fall wheat cc mix,2022,1M,30-Jun,28
104,b1,fall wheat cc mix,2022,1M,15-Jul,16
104,b1,fall wheat cc mix,2022,1M,15-Aug,0
104,b1,fall wheat cc mix,2022,1M,15-Sep,12
104,b1,fall wheat cc mix,2022,1M,15-Oct,0
201,b2,fall wheat cc mix,2022,1M,1-Jun,12
201,b2,fall wheat cc mix,2022,1M,30-Jun,0
201,b2,fall wheat cc mix,2022,1M,15-Jul,0
201,b2,fall wheat cc mix,2022,1M,15-Aug,0
201,b2,fall wheat cc mix,2022,1M,15-Sep,0
201,b2,fall wheat cc mix,2022,1M,15-Oct,0
303,b3,fall wheat cc mix,2022,1M,1-Jun,12
303,b3,fall wheat cc mix,2022,1M,30-Jun,0
303,b3,fall wheat cc mix,2022,1M,15-Jul,12
303,b3,fall wheat cc mix,2022,1M,15-Aug,0
303,b3,fall wheat cc mix,2022,1M,15-Sep,0
303,b3,fall wheat cc mix,2022,1M,15-Oct,0
406,b4,fall wheat cc mix,2022,1M,1-Jun,8
406,b4,fall wheat cc mix,2022,1M,30-Jun,0
406,b4,fall wheat cc mix,2022,1M,15-Jul,0
406,b4,fall wheat cc mix,2022,1M,15-Aug,4
406,b4,fall wheat cc mix,2022,1M,15-Sep,0
406,b4,fall wheat cc mix,2022,1M,15-Oct,0
103,b1,fall wheat clover,2022,1M,1-Jun,12
103,b1,fall wheat clover,2022,1M,30-Jun,4
103,b1,fall wheat clover,2022,1M,15-Jul,0
103,b1,fall wheat clover,2022,1M,15-Aug,0
103,b1,fall wheat clover,2022,1M,15-Sep,0
103,b1,fall wheat clover,2022,1M,15-Oct,0
203,b2,fall wheat clover,2022,1M,1-Jun,48
203,b2,fall wheat clover,2022,1M,30-Jun,20
203,b2,fall wheat clover,2022,1M,15-Jul,16
203,b2,fall wheat clover,2022,1M,15-Aug,0
203,b2,fall wheat clover,2022,1M,15-Sep,0
203,b2,fall wheat clover,2022,1M,15-Oct,8
305,b3,fall wheat clover,2022,1M,1-Jun,40
305,b3,fall wheat clover,2022,1M,30-Jun,0
305,b3,fall wheat clover,2022,1M,15-Jul,8
305,b3,fall wheat clover,2022,1M,15-Aug,4
305,b3,fall wheat clover,2022,1M,15-Sep,0
305,b3,fall wheat clover,2022,1M,15-Oct,0
401,b4,fall wheat clover,2022,1M,1-Jun,12
